IATA,id,airport_name,city,country,ICAO,latitude,longitude,altitude,timezone,daylight_saving_time,database_timezone,type,source
AGT,4305.0,Guarani International Airport,Ciudad del Este,Paraguay,SGES,-25.454516,-54.842681999999996,846.0,-4,S,America/Asuncion,airport,OurAirports
AGU,1785.0,Jesús Terán Paredo International Airport,Aguascalientes,Mexico,MMAS,21.705601,-102.318001,6112.0,-6,S,America/Mexico_City,airport,OurAirports
AGX,3130.0,Agatti Airport,Agatti Island,India,VOAT,10.823699951171877,72.1760025024414,14.0,5.5,N,Asia/Calcutta,airport,OurAirports
AHB,2059.0,Abha Regional Airport,Abha,Saudi Arabia,OEAB,18.2404003143,42.65660095210001,6858.0,3,U,Asia/Riyadh,airport,OurAirports
AHO,1517.0,Alghero-Fertilia Airport,Alghero,Italy,LIEA,40.632099,8.29077,87.0,1,E,Europe/Rome,airport,OurAirports
AIA,7067.0,Alliance Municipal Airport,Alliance,United States,KAIA,42.0531997681,-102.804000854,3931.0,-7,A,America/Denver,airport,OurAirports
AIT,1958.0,Aitutaki Airport,Aitutaki,Cook Islands,NCAI,-18.830900192260746,-159.76400756835938,14.0,-10,U,Pacific/Rarotonga,airport,OurAirports
AJA,1324.0,Ajaccio-Napoléon Bonaparte Airport,Ajaccio,France,LFKJ,41.92359924316406,8.8029203414917,18.0,1,E,Europe/Paris,airport,OurAirports
AJF,5925.0,Al-Jawf Domestic Airport,Al-Jawf,Saudi Arabia,OESK,29.78510093688965,40.099998474121094,2261.0,3,U,Asia/Riyadh,airport,OurAirports
AJI,5799.0,Ağrı Airport,Agri,Turkey,LTCO,39.654541015625,43.025978088378906,5462.0,3,E,Europe/Istanbul,airport,OurAirports
AJL,3039.0,Lengpui Airport,Aizwal,India,VELP,23.8405990601,92.6196975708,1398.0,5.5,N,Asia/Calcutta,airport,OurAirports
AJR,730.0,Arvidsjaur Airport,Arvidsjaur,Sweden,ESNX,65.59030151367189,19.28190040588379,1245.0,1,E,Europe/Stockholm,airport,OurAirports
AJU,2522.0,Santa Maria Airport,Aracaju,Brazil,SBAR,-10.984000206,-37.0703010559,23.0,-3,S,America/Fortaleza,airport,OurAirports
AKJ,2299.0,Asahikawa Airport,Asahikawa,Japan,RJEC,43.670799255371094,142.44700622558594,721.0,9,U,Asia/Tokyo,airport,OurAirports
AKL,2006.0,Auckland International Airport,Auckland,New Zealand,NZAA,-37.0080986023,174.79200744599999,23.0,12,Z,Pacific/Auckland,airport,OurAirports
AKU,6404.0,Aksu Airport,Aksu,China,ZWAK,41.262501,80.291702,3816.0,8,U,Asia/Shanghai,airport,OurAirports
ALA,2908.0,Almaty Airport,Alma-ata,Kazakhstan,UAAA,43.35210037231445,77.04049682617188,2234.0,6,U,Asia/Qyzylorda,airport,OurAirports
ALB,3864.0,Albany International Airport,Albany,United States,KALB,42.74829864501953,-73.80169677734375,285.0,-5,A,America/New_York,airport,OurAirports
ALC,1212.0,Alicante International Airport,Alicante,Spain,LEAL,38.28219985961914,-0.5581560134887695,142.0,1,E,Europe/Madrid,airport,OurAirports
ALF,632.0,Alta Airport,Alta,Norway,ENAT,69.976097106934,23.371700286865,9.0,1,E,Europe/Oslo,airport,OurAirports
ALG,210.0,Houari Boumediene Airport,Algier,Algeria,DAAG,36.691001892089844,3.215409994125366,82.0,1,N,Africa/Algiers,airport,OurAirports
ALH,6235.0,Albany Airport,Albany,Australia,YABA,-34.94329833984375,117.80899810791016,233.0,8,O,Australia/Perth,airport,OurAirports
ALO,5718.0,Waterloo Regional Airport,Waterloo,United States,KALO,42.55709838867188,-92.40029907226562,873.0,-6,A,America/Chicago,airport,OurAirports
ALS,7073.0,San Luis Valley Regional Bergman Field,Alamosa,United States,KALS,37.434898,-105.866997,7539.0,-7,A,America/Denver,airport,OurAirports
AMA,3840.0,Rick Husband Amarillo International Airport,Amarillo,United States,KAMA,35.219398498535156,-101.70600128173828,3607.0,-6,A,America/Chicago,airport,OurAirports
AMD,2994.0,Sardar Vallabhbhai Patel International Airport,Ahmedabad,India,VAAH,23.0771999359,72.63469696039998,189.0,5.5,N,Asia/Calcutta,airport,OurAirports
AMH,1109.0,Arba Minch Airport,Arba Minch,Ethiopia,HAAM,6.0393900871276855,37.59049987792969,3901.0,3,U,Africa/Addis_Ababa,airport,OurAirports
AMM,2170.0,Queen Alia International Airport,Amman,Jordan,OJAI,31.7226009369,35.9931983948,2395.0,2,E,Asia/Amman,airport,OurAirports
AMQ,3256.0,"Pattimura Airport, Ambon",Ambon,Indonesia,WAPP,-3.7102599144,128.089004517,33.0,9,N,Asia/Jayapura,airport,OurAirports
AMS,580.0,Amsterdam Airport Schiphol,Amsterdam,Netherlands,EHAM,52.308601379399995,4.7638897895799985,-11.0,1,E,Europe/Amsterdam,airport,OurAirports
ANC,3774.0,Ted Stevens Anchorage International Airport,Anchorage,United States,PANC,61.174400329589844,-149.99600219726562,152.0,-9,A,America/Anchorage,airport,OurAirports
ANF,2651.0,Cerro Moreno Airport,Antofagasta,Chile,SCFA,-23.444499969482425,-70.44509887695312,455.0,-4,S,America/Santiago,airport,OurAirports
ANR,299.0,Antwerp International Airport (Deurne),Antwerp,Belgium,EBAW,51.189399719200004,4.46027994156,39.0,1,E,Europe/Brussels,airport,OurAirports
ANU,2874.0,V.C. Bird International Airport,Antigua,Antigua and Barbuda,TAPA,17.1367,-61.792702,62.0,-4,U,America/Antigua,airport,OurAirports
AOE,6780.0,Anadolu Airport,Eskissehir,Turkey,LTBY,39.809898,30.5194,2588.0,3,E,Europe/Istanbul,airport,OurAirports
AOG,9844.0,Anshan Air Base,Anshan,China,ZYAS,41.105301000000004,122.853996,0.0,8,N,Asia/Shanghai,airport,OurAirports
AOI,4309.0,Ancona Falconara Airport,Ancona,Italy,LIPY,43.616299,13.3623,49.0,1,E,Europe/Rome,airport,OurAirports
AOJ,2340.0,Aomori Airport,Aomori,Japan,RJSA,40.73469924926758,140.69099426269528,664.0,9,U,Asia/Tokyo,airport,OurAirports
AOK,1459.0,Karpathos Airport,Karpathos,Greece,LGKP,35.4213981628418,27.145999908447266,66.0,2,E,Europe/Athens,airport,OurAirports
AOO,3694.0,Altoona Blair County Airport,Altoona,United States,KAOO,40.29639816,-78.31999969,1503.0,-5,A,America/New_York,airport,OurAirports
AOR,3296.0,Sultan Abdul Halim Airport,Alor Setar,Malaysia,WMKA,6.189670085906982,100.39800262451172,15.0,8,N,Asia/Kuala_Lumpur,airport,OurAirports
APL,984.0,Nampula Airport,Nampula,Mozambique,FQNP,-15.105600357055664,39.28179931640625,1444.0,2,U,Africa/Maputo,airport,OurAirports
APN,5720.0,Alpena County Regional Airport,Alpena,United States,KAPN,45.07809829999999,-83.56030273,690.0,-5,A,America/New_York,airport,OurAirports
APO,2726.0,Antonio Roldan Betancourt Airport,Carepa,Colombia,SKLC,7.811960000000001,-76.7164,46.0,-5,U,America/Bogota,airport,OurAirports
APW,1969.0,Faleolo International Airport,Faleolo,Samoa,NSFA,-13.829999923706055,-172.00799560546875,58.0,13,U,Pacific/Apia,airport,OurAirports
AQG,6427.0,Anqing Tianzhushan Airport,Anqing,China,ZSAQ,30.582199,117.050003,0.0,8,N,Asia/Shanghai,airport,OurAirports
AQI,2076.0,Al Qaisumah/Hafr Al Batin Airport,Hafr Al-batin,Saudi Arabia,OEPA,28.335199,46.125099,1174.0,3,U,Asia/Riyadh,airport,OurAirports
AQJ,2172.0,Aqaba King Hussein International Airport,Aqaba,Jordan,OJAQ,29.61160087585449,35.01810073852539,175.0,2,E,Asia/Amman,airport,OurAirports
AQP,2802.0,Rodríguez Ballón International Airport,Arequipa,Peru,SPQU,-16.3411006927,-71.5830993652,8405.0,-5,U,America/Lima,airport,OurAirports
ARH,4362.0,Talagi Airport,Arkhangelsk,Russia,ULAA,64.60030364990234,40.71670150756836,62.0,3,N,Europe/Moscow,airport,OurAirports
ARM,4062.0,Armidale Airport,Armidale,Australia,YARM,-30.5280990601,151.617004395,3556.0,10,O,Australia/Sydney,airport,OurAirports
ARN,737.0,Stockholm-Arlanda Airport,Stockholm,Sweden,ESSA,59.651901245116996,17.918600082397,137.0,1,E,Europe/Stockholm,airport,OurAirports
ART,3838.0,Watertown International Airport,Watertown,United States,KART,43.99190139770508,-76.02169799804688,325.0,-5,A,America/New_York,airport,OurAirports
ASB,2976.0,Ashgabat Airport,Ashkhabad,Turkmenistan,UTAA,37.98680114746094,58.361000061035156,692.0,5,U,Asia/Ashgabat,airport,OurAirports
ASE,7001.0,Aspen-Pitkin Co/Sardy Field,Aspen,United States,KASE,39.22320175,-106.8690033,7820.0,-7,A,America/Denver,airport,OurAirports
ASF,2966.0,Astrakhan Airport,Astrakhan,Russia,URWA,46.2832984924,48.0063018799,-65.0,4,N,Europe/Samara,airport,OurAirports
ASJ,2316.0,Amami Airport,Amami,Japan,RJKA,28.430599212646484,129.71299743652344,27.0,9,U,Asia/Tokyo,airport,OurAirports
ASM,3967.0,Asmara International Airport,Asmara,Eritrea,HHAS,15.291899681091307,38.91070175170898,7661.0,3,U,Africa/Asmera,airport,OurAirports
ASO,1119.0,Asosa Airport,Asosa,Ethiopia,HASO,10.018500328063963,34.586299896240234,5100.0,3,U,Africa/Addis_Ababa,airport,OurAirports
ASP,3319.0,Alice Springs Airport,Alice Springs,Australia,YBAS,-23.806699752807614,133.90199279785156,1789.0,9.5,N,Australia/Darwin,airport,OurAirports
ASR,1696.0,Kayseri Erkilet Airport,Kayseri,Turkey,LTAU,38.770401000999996,35.4953994751,3463.0,3,E,Europe/Istanbul,airport,OurAirports
ASU,2699.0,Silvio Pettirossi International Airport,Asuncion,Paraguay,SGAS,-25.239999771118164,-57.52000045776367,292.0,-4,S,America/Asuncion,airport,OurAirports
ASW,1136.0,Aswan International Airport,Aswan,Egypt,HESN,23.964399337800003,32.8199996948,662.0,2,U,Africa/Cairo,airport,OurAirports
ATH,3941.0,Eleftherios Venizelos International Airport,Athens,Greece,LGAV,37.9364013672,23.944499969499997,308.0,2,E,Europe/Athens,airport,OurAirports
ATL,3682.0,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,KATL,33.63669967651367,-84.4281005859375,1026.0,-5,A,America/New_York,airport,OurAirports
ATQ,3081.0,Sri Guru Ram Dass Jee International Airport,Amritsar,India,VIAR,31.7096004486,74.7973022461,756.0,5.5,N,Asia/Calcutta,airport,OurAirports
ATW,4047.0,Appleton International Airport,Appleton,United States,KATW,44.258098602299995,-88.51909637450001,918.0,-6,A,America/Chicago,airport,OurAirports
ATZ,5691.0,Assiut International Airport,Asyut,Egypt,HEAT,27.0464992523,31.0119991302,772.0,2,U,Africa/Cairo,airport,OurAirports
AUA,2895.0,Queen Beatrix International Airport,Oranjestad,Aruba,TNCA,12.501399993896484,-70.01519775390625,60.0,-4,U,America/Aruba,airport,OurAirports
AUC,2752.0,Santiago Perez Airport,Arauca,Colombia,SKUC,7.06888,-70.7369,420.0,-5,U,America/Bogota,airport,OurAirports
AUH,2179.0,Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,OMAA,24.433000564575195,54.651100158691406,88.0,4,U,Asia/Dubai,airport,OurAirports
AUS,3673.0,Austin Bergstrom International Airport,Austin,United States,KAUS,30.194499969482425,-97.6698989868164,542.0,-6,A,America/Chicago,airport,OurAirports
AVA,9849.0,Anshun Huangguoshu Airport,Anshun,China,ZUAS,26.2605555556,105.87333333299999,4812.0,8,N,Asia/Shanghai,airport,OurAirports
AVL,4007.0,Asheville Regional Airport,Asheville,United States,KAVL,35.43619918823242,-82.54180145263672,2165.0,-5,A,America/New_York,airport,OurAirports
AVP,4286.0,Wilkes Barre Scranton International Airport,Scranton,United States,KAVP,41.338500976599995,-75.72339630130001,962.0,-5,A,America/New_York,airport,OurAirports
AWZ,2104.0,Ahwaz Airport,Ahwaz,Iran,OIAW,31.3374004364,48.7620010376,66.0,3.5,E,Asia/Tehran,airport,OurAirports
AXD,1446.0,Dimokritos Airport,Alexandroupolis,Greece,LGAL,40.855899810791016,25.956300735473636,24.0,2,E,Europe/Athens,airport,OurAirports
AXM,2705.0,El Eden Airport,Armenia,Colombia,SKAR,4.452780000000001,-75.7664,3990.0,-5,U,America/Bogota,airport,OurAirports
AXT,2345.0,Akita Airport,Akita,Japan,RJSK,39.6156005859375,140.218994140625,313.0,9,U,Asia/Tokyo,airport,OurAirports
AXU,1110.0,Axum Airport,Axum,Ethiopia,HAAX,14.14680004119873,38.77280044555664,6959.0,3,U,Africa/Addis_Ababa,airport,OurAirports
AYQ,4010.0,Ayers Rock Connellan Airport,Uluru,Australia,YAYE,-25.1861,130.975998,1626.0,9.5,N,Australia/Darwin,airport,OurAirports
AYT,1688.0,Antalya International Airport,Antalya,Turkey,LTAI,36.898701,30.800501,177.0,3,E,Europe/Istanbul,airport,OurAirports
AZD,2164.0,Shahid Sadooghi Airport,Yazd,Iran,OIYY,31.904899597199996,54.2765007019,4054.0,3.5,E,Asia/Tehran,airport,OurAirports
AZO,4039.0,Kalamazoo Battle Creek International Airport,Kalamazoo,United States,KAZO,42.234901428222656,-85.5521011352539,874.0,-5,A,America/New_York,airport,OurAirports
AZS,5810.0,Samaná El Catey International Airport,Samana,Dominican Republic,MDCY,19.267000198399998,-69.7419967651,30.0,-4,U,America/Santo_Domingo,airport,OurAirports
BAH,2057.0,Bahrain International Airport,Bahrain,Bahrain,OBBI,26.27079963684082,50.63359832763672,6.0,3,U,Asia/Bahrain,airport,OurAirports
BAL,1729.0,Batman Airport,Batman,Turkey,LTCJ,37.929000854499996,41.1166000366,1822.0,3,E,Europe/Istanbul,airport,OurAirports
BAQ,2710.0,Ernesto Cortissoz International Airport,Barranquilla,Colombia,SKBQ,10.8896,-74.7808,98.0,-5,U,America/Bogota,airport,OurAirports
BAV,6346.0,Baotou Airport,Baotou,China,ZBOW,40.560001373291016,109.99700164794922,3321.0,8,U,Asia/Shanghai,airport,OurAirports
BAX,2956.0,Barnaul Airport,Barnaul,Russia,UNBB,53.36380004882813,83.53849792480469,837.0,7,N,Asia/Krasnoyarsk,airport,OurAirports
BAY,1649.0,Tautii Magheraus Airport,Baia Mare,Romania,LRBM,47.65840148925781,23.46999931335449,605.0,2,E,Europe/Bucharest,airport,OurAirports
BBI,3042.0,Biju Patnaik Airport,Bhubaneswar,India,VEBS,20.2444000244,85.8178024292,138.0,5.5,N,Asia/Calcutta,airport,OurAirports
BBK,879.0,Kasane Airport,Kasane,Botswana,FBKE,-17.83289909362793,25.16239929199219,3289.0,2,U,Africa/Gaborone,airport,OurAirports
BBN,6220.0,Bario Airport,Bario,Malaysia,WBGZ,3.7338900566101074,115.47899627685548,3350.0,8,N,Asia/Kuala_Lumpur,airport,OurAirports
BCI,6238.0,Barcaldine Airport,Barcaldine,Australia,YBAR,-23.565299987800003,145.307006836,878.0,10,O,Australia/Brisbane,airport,OurAirports
BCN,1218.0,Barcelona International Airport,Barcelona,Spain,LEBL,41.297100067139,2.0784599781036,12.0,1,E,Europe/Madrid,airport,OurAirports
BDA,4069.0,L.F. Wade International International Airport,Bermuda,Bermuda,TXKF,32.363998413085945,-64.67870330810547,12.0,-4,A,Atlantic/Bermuda,airport,OurAirports
BDB,4218.0,Bundaberg Airport,Bundaberg,Australia,YBUD,-24.9039001465,152.319000244,107.0,10,O,Australia/Brisbane,airport,OurAirports
BDJ,3908.0,Syamsudin Noor Airport,Banjarmasin,Indonesia,WAOO,-3.4423599243164062,114.76300048828124,66.0,8,N,Asia/Makassar,airport,OurAirports
BDL,3825.0,Bradley International Airport,Windsor Locks,United States,KBDL,41.9388999939,-72.68319702149999,173.0,-5,A,America/New_York,airport,OurAirports
BDO,3896.0,Husein Sastranegara International Airport,Bandung,Indonesia,WICC,-6.900629997253418,107.57599639892578,2436.0,7,N,Asia/Jakarta,airport,OurAirports
BDQ,3001.0,Vadodara Airport,Baroda,India,VABO,22.3362007141,73.2263031006,129.0,5.5,N,Asia/Calcutta,airport,OurAirports
BDS,1506.0,Brindisi – Salento Airport,Brindisi,Italy,LIBR,40.6576,17.947001,47.0,1,E,Europe/Rome,airport,OurAirports
BEG,1739.0,Belgrade Nikola Tesla Airport,Belgrade,Serbia,LYBE,44.8184013367,20.3090991974,335.0,1,E,Europe/Belgrade,airport,OurAirports
BEJ,6209.0,Barau(Kalimaru) Airport,Tanjung Redep-Borneo Island,Indonesia,WALK,2.15549993515,117.431999207,59.0,8,N,Asia/Makassar,airport,OurAirports
BEL,2526.0,Val de Cans/Júlio Cezar Ribeiro International Airport,Belem,Brazil,SBBE,-1.3792500495900002,-48.476299285900005,54.0,-3,S,America/Belem,airport,OurAirports
BEN,1154.0,Benina International Airport,Benghazi,Libya,HLLB,32.096801757799994,20.2695007324,433.0,2,N,Africa/Tripoli,airport,OurAirports
BES,1403.0,Brest Bretagne Airport,Brest,France,LFRB,48.4478988647461,-4.418540000915527,325.0,1,E,Europe/Paris,airport,OurAirports
BEW,974.0,Beira Airport,Beira,Mozambique,FQBR,-19.79640007019043,34.90760040283203,33.0,2,U,Africa/Maputo,airport,OurAirports
BEY,2177.0,Beirut Rafic Hariri International Airport,Beirut,Lebanon,OLBA,33.820899963378906,35.488399505615234,87.0,2,E,Asia/Beirut,airport,OurAirports
BFD,5722.0,Bradford Regional Airport,Bradford,United States,KBFD,41.8031005859375,-78.64009857177734,2143.0,-5,A,America/New_York,airport,OurAirports
BFJ,9025.0,Bijie Feixiong Airport,Bijie,China,ZUBJ,27.267065999999996,105.47209699999999,4751.0,8,N,Asia/Shanghai,airport,OurAirports
BFL,3558.0,Meadows Field,Bakersfield,United States,KBFL,35.43360138,-119.0569992,510.0,-8,A,America/Los_Angeles,airport,OurAirports
BFN,794.0,Bram Fischer International Airport,Bloemfontein,South Africa,FABL,-29.092699050900002,26.302400589,4458.0,2,U,Africa/Johannesburg,airport,OurAirports
BFS,465.0,Belfast International Airport,Belfast,United Kingdom,EGAA,54.6575012207,-6.21582984924,268.0,0,E,Europe/London,airport,OurAirports
BGA,2708.0,Palonegro Airport,Bucaramanga,Colombia,SKBG,7.1265,-73.1848,3897.0,-5,U,America/Bogota,airport,OurAirports
BGF,888.0,Bangui M'Poko International Airport,Bangui,Central African Republic,FEFF,4.39847993850708,18.518800735473636,1208.0,1,N,Africa/Bangui,airport,OurAirports
BGG,9272.0,Bingol,Bingol,Turkey,LTCU,38.86111,40.5925,3490.0,3,E,Europe/Istanbul,unknown,User
BGI,2875.0,Sir Grantley Adams International Airport,Bridgetown,Barbados,TBPB,13.0746002197,-59.492500305200004,169.0,-4,U,America/Barbados,airport,OurAirports
BGM,4129.0,Greater Binghamton/Edwin A Link field,Binghamton,United States,KBGM,42.20869827,-75.97979736,1636.0,-5,A,America/New_York,airport,OurAirports
BGO,636.0,Bergen Airport Flesland,Bergen,Norway,ENBR,60.29339981,5.218140125,170.0,1,E,Europe/Oslo,airport,OurAirports
BGR,3463.0,Bangor International Airport,Bangor,United States,KBGR,44.80739974975586,-68.82810211181639,192.0,-5,A,America/New_York,airport,OurAirports
BGW,4130.0,Baghdad International Airport,Baghdad,Iraq,ORBI,33.262500762900004,44.2346000671,114.0,3,U,Asia/Baghdad,airport,OurAirports
BHD,467.0,George Best Belfast City Airport,Belfast,United Kingdom,EGAC,54.61809921264648,-5.872499942779541,15.0,0,E,Europe/London,airport,OurAirports
BHE,2037.0,Woodbourne Airport,Woodbourne,New Zealand,NZWB,-41.5182991027832,173.8699951171875,109.0,12,Z,Pacific/Auckland,airport,OurAirports
BHH,2062.0,Bisha Airport,Bisha,Saudi Arabia,OEBH,19.984399795532227,42.62089920043945,3887.0,3,U,Asia/Riyadh,airport,OurAirports
BHI,2501.0,Comandante Espora Airport,Bahia Blanca,Argentina,SAZB,-38.725,-62.1693,246.0,-3,N,America/Buenos_Aires,airport,OurAirports
BHK,2980.0,Bukhara Airport,Bukhara,Uzbekistan,UTSB,39.775001525878906,64.48329925537111,751.0,5,U,Asia/Samarkand,airport,OurAirports
BHM,3811.0,Birmingham-Shuttlesworth International Airport,Birmingham,United States,KBHM,33.56290054,-86.75350189,650.0,-6,A,America/Chicago,airport,OurAirports
BHO,3002.0,Raja Bhoj International Airport,Bhopal,India,VABP,23.2875003815,77.33740234380001,1711.0,5.5,N,Asia/Calcutta,airport,OurAirports
BHX,469.0,Birmingham International Airport,Birmingham,United Kingdom,EGBB,52.4538993835,-1.7480299472799998,327.0,0,E,Europe/London,airport,OurAirports
BHY,6351.0,Beihai Airport,Beihai,China,ZGBH,21.5394,109.293999,0.0,8,U,Asia/Shanghai,airport,OurAirports
BIA,1321.0,Bastia-Poretta Airport,Bastia,France,LFKB,42.55270004272461,9.48373031616211,26.0,1,E,Europe/Paris,airport,OurAirports
BIK,3241.0,Frans Kaisiepo Airport,Biak,Indonesia,WABB,-1.190019965171814,136.10800170898438,46.0,9,N,Asia/Jayapura,airport,OurAirports
BIL,4021.0,Billings Logan International Airport,Billings,United States,KBIL,45.807701110839844,-108.54299926757812,3652.0,-7,A,America/Denver,airport,OurAirports
BIM,1937.0,South Bimini Airport,Alice Town,Bahamas,MYBS,25.6998996735,-79.2647018433,10.0,-5,U,America/Nassau,airport,OurAirports
BIO,1216.0,Bilbao Airport,Bilbao,Spain,LEBB,43.30110168457031,-2.9106099605560303,138.0,1,E,Europe/Madrid,airport,OurAirports
BIQ,1280.0,Biarritz-Anglet-Bayonne Airport,Biarritz-bayonne,France,LFBZ,43.4683333,-1.5311111000000002,245.0,1,E,Europe/Paris,airport,OurAirports
